repo,label,week_start,commits
pandas-dev/pandas,alive,2024-04-22,55
pandas-dev/pandas,alive,2024-04-15,42
pandas-dev/pandas,alive,2024-04-08,30
pandas-dev/pandas,alive,2024-04-01,35
pandas-dev/pandas,alive,2024-03-25,53
pandas-dev/pandas,alive,2024-03-18,45
pandas-dev/pandas,alive,2024-03-11,42
pandas-dev/pandas,alive,2024-03-04,50
pandas-dev/pandas,alive,2024-02-26,29
pandas-dev/pandas,alive,2024-02-19,58
pandas-dev/pandas,alive,2024-02-12,67
pandas-dev/pandas,alive,2024-02-05,50
pandas-dev/pandas,alive,2024-01-29,74
pandas-dev/pandas,alive,2024-01-22,27
pandas-dev/pandas,alive,2024-01-15,52
pandas-dev/pandas,alive,2024-01-08,45
pandas-dev/pandas,alive,2024-01-01,24
pandas-dev/pandas,alive,2023-12-25,27
pandas-dev/pandas,alive,2023-12-18,57
pandas-dev/pandas,alive,2023-12-11,37
pandas-dev/pandas,alive,2023-12-04,85
pandas-dev/pandas,alive,2023-11-27,58
pandas-dev/pandas,alive,2023-11-20,76
pandas-dev/pandas,alive,2023-11-13,84
pandas-dev/pandas,alive,2023-11-06,50
pandas-dev/pandas,alive,2023-10-30,36
pandas-dev/pandas,alive,2023-10-23,60
pandas-dev/pandas,alive,2023-10-16,40
pandas-dev/pandas,alive,2023-10-09,35
pandas-dev/pandas,alive,2023-10-02,52
pandas-dev/pandas,alive,2023-09-25,15
pandas-dev/pandas,alive,2023-09-18,45
pandas-dev/pandas,alive,2023-09-11,23
pandas-dev/pandas,alive,2023-09-04,37
pandas-dev/pandas,alive,2023-08-28,61
pandas-dev/pandas,alive,2023-08-21,67
pandas-dev/pandas,alive,2023-08-14,34
pandas-dev/pandas,alive,2023-08-07,49
pandas-dev/pandas,alive,2023-07-31,91
pandas-dev/pandas,alive,2023-07-24,50
pandas-dev/pandas,alive,2023-07-17,64
pandas-dev/pandas,alive,2023-07-10,50
pandas-dev/pandas,alive,2023-07-03,37
pandas-dev/pandas,alive,2023-06-26,73
pandas-dev/pandas,alive,2023-06-19,71
pandas-dev/pandas,alive,2023-06-12,36
pandas-dev/pandas,alive,2023-06-05,41
pandas-dev/pandas,alive,2023-05-29,49
pandas-dev/pandas,alive,2023-05-22,40
pandas-dev/pandas,alive,2023-05-15,46
pandas-dev/pandas,alive,2023-05-08,37
pandas-dev/pandas,alive,2023-05-01,55
pandas-dev/pandas,alive,2023-04-24,55
pandas-dev/pandas,alive,2023-04-17,90
pandas-dev/pandas,alive,2023-04-10,66
pandas-dev/pandas,alive,2023-04-03,71
scikit-learn/scikit-learn,alive,2025-03-31,12
scikit-learn/scikit-learn,alive,2025-03-24,29
scikit-learn/scikit-learn,alive,2025-03-17,32
scikit-learn/scikit-learn,alive,2025-03-10,7
scikit-learn/scikit-learn,alive,2025-03-03,16
scikit-learn/scikit-learn,alive,2025-02-24,19
scikit-learn/scikit-learn,alive,2025-02-17,13
scikit-learn/scikit-learn,alive,2025-02-10,23
scikit-learn/scikit-learn,alive,2025-02-03,23
scikit-learn/scikit-learn,alive,2025-01-27,14
scikit-learn/scikit-learn,alive,2025-01-20,28
scikit-learn/scikit-learn,alive,2025-01-13,23
scikit-learn/scikit-learn,alive,2025-01-06,18
scikit-learn/scikit-learn,alive,2024-12-30,23
scikit-learn/scikit-learn,alive,2024-12-23,9
scikit-learn/scikit-learn,alive,2024-12-16,16
scikit-learn/scikit-learn,alive,2024-12-09,19
scikit-learn/scikit-learn,alive,2024-12-02,22
scikit-learn/scikit-learn,alive,2024-11-25,21
scikit-learn/scikit-learn,alive,2024-11-18,20
scikit-learn/scikit-learn,alive,2024-11-11,19
scikit-learn/scikit-learn,alive,2024-11-04,25
scikit-learn/scikit-learn,alive,2024-10-28,30
scikit-learn/scikit-learn,alive,2024-10-21,18
scikit-learn/scikit-learn,alive,2024-10-14,51
scikit-learn/scikit-learn,alive,2024-10-07,33
scikit-learn/scikit-learn,alive,2024-09-30,14
scikit-learn/scikit-learn,alive,2024-09-23,17
scikit-learn/scikit-learn,alive,2024-09-16,20
scikit-learn/scikit-learn,alive,2024-09-09,26
scikit-learn/scikit-learn,alive,2024-09-02,30
scikit-learn/scikit-learn,alive,2024-08-26,20
scikit-learn/scikit-learn,alive,2024-08-19,9
scikit-learn/scikit-learn,alive,2024-08-12,17
scikit-learn/scikit-learn,alive,2024-08-05,10
scikit-learn/scikit-learn,alive,2024-07-29,17
scikit-learn/scikit-learn,alive,2024-07-22,27
scikit-learn/scikit-learn,alive,2024-07-15,22
scikit-learn/scikit-learn,alive,2024-07-08,33
scikit-learn/scikit-learn,alive,2024-07-01,24
scikit-learn/scikit-learn,alive,2024-06-24,14
scikit-learn/scikit-learn,alive,2024-06-17,27
scikit-learn/scikit-learn,alive,2024-06-10,23
scikit-learn/scikit-learn,alive,2024-06-03,36
scikit-learn/scikit-learn,alive,2024-05-27,15
scikit-learn/scikit-learn,alive,2024-05-20,27
scikit-learn/scikit-learn,alive,2024-05-13,31
scikit-learn/scikit-learn,alive,2024-05-06,15
scikit-learn/scikit-learn,alive,2024-04-29,19
scikit-learn/scikit-learn,alive,2024-04-22,25
scikit-learn/scikit-learn,alive,2024-04-15,22
scikit-learn/scikit-learn,alive,2024-04-08,37
scikit-learn/scikit-learn,alive,2024-04-01,16
scikit-learn/scikit-learn,alive,2024-03-25,21
scikit-learn/scikit-learn,alive,2024-03-18,21
scikit-learn/scikit-learn,alive,2024-03-11,10
scikit-learn/scikit-learn,alive,2024-03-04,27
scikit-learn/scikit-learn,alive,2024-02-26,34
scikit-learn/scikit-learn,alive,2024-02-19,49
scikit-learn/scikit-learn,alive,2024-02-12,32
scikit-learn/scikit-learn,alive,2024-02-05,21
scikit-learn/scikit-learn,alive,2024-01-29,23
scikit-learn/scikit-learn,alive,2024-01-22,51
scikit-learn/scikit-learn,alive,2024-01-15,51
scikit-learn/scikit-learn,alive,2024-01-08,36
scikit-learn/scikit-learn,alive,2024-01-01,10
scikit-learn/scikit-learn,alive,2023-12-25,2
scikit-learn/scikit-learn,alive,2023-12-18,12
scikit-learn/scikit-learn,alive,2023-12-11,17
scikit-learn/scikit-learn,alive,2023-12-04,26
scikit-learn/scikit-learn,alive,2023-11-27,28
scikit-learn/scikit-learn,alive,2023-11-20,27
scikit-learn/scikit-learn,alive,2023-11-13,30
scikit-learn/scikit-learn,alive,2023-11-06,19
scikit-learn/scikit-learn,alive,2023-10-30,29
scikit-learn/scikit-learn,alive,2023-10-23,13
scikit-learn/scikit-learn,alive,2023-10-16,24
scikit-learn/scikit-learn,alive,2023-10-09,20
scikit-learn/scikit-learn,alive,2023-10-02,16
scikit-learn/scikit-learn,alive,2023-09-25,33
scikit-learn/scikit-learn,alive,2023-09-18,23
scikit-learn/scikit-learn,alive,2023-09-11,86
scikit-learn/scikit-learn,alive,2023-09-04,22
scikit-learn/scikit-learn,alive,2023-08-28,22
scikit-learn/scikit-learn,alive,2023-08-21,29
scikit-learn/scikit-learn,alive,2023-08-14,19
scikit-learn/scikit-learn,alive,2023-08-07,29
scikit-learn/scikit-learn,alive,2023-07-31,22
scikit-learn/scikit-learn,alive,2023-07-24,21
scikit-learn/scikit-learn,alive,2023-07-17,12
scikit-learn/scikit-learn,alive,2023-07-10,20
scikit-learn/scikit-learn,alive,2023-07-03,20
scikit-learn/scikit-learn,alive,2023-06-26,42
scikit-learn/scikit-learn,alive,2023-06-19,43
scikit-learn/scikit-learn,alive,2023-06-12,19
scikit-learn/scikit-learn,alive,2023-06-05,21
scikit-learn/scikit-learn,alive,2023-05-29,26
scikit-learn/scikit-learn,alive,2023-05-22,16
scikit-learn/scikit-learn,alive,2023-05-15,15
scikit-learn/scikit-learn,alive,2023-05-08,8
scikit-learn/scikit-learn,alive,2023-05-01,15
scikit-learn/scikit-learn,alive,2023-04-24,28
scikit-learn/scikit-learn,alive,2023-04-17,20
scikit-learn/scikit-learn,alive,2023-04-10,32
scikit-learn/scikit-learn,alive,2023-04-03,45
jashkenas/coffeescript,dying,2023-09-18,1
jashkenas/coffeescript,dying,2023-09-04,1
jashkenas/coffeescript,dying,2023-07-24,1
jashkenas/coffeescript,dying,2023-05-08,1
bower/bower,dying,2024-10-07,1
gulpjs/gulp,dying,2024-04-08,3
gulpjs/gulp,dying,2024-04-01,1
gulpjs/gulp,dying,2024-03-25,4
pugjs/pug,dying,2024-05-20,1
airbnb/enzyme,dying,2024-02-19,1
airbnb/enzyme,dying,2024-02-12,1
airbnb/enzyme,dying,2024-02-05,12
